job_url,job_title,department,source,extracted_timestamp
https://jobs.lever.co/matchgroup/1120fcd7-1e09-48b4-9fe4-44adbb0a5dc4,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.407473
https://jobs.lever.co/matchgroup/321d7376-38af-446f-b407-1ded932c89cc,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.414025
https://jobs.lever.co/matchgroup/37d7658d-1612-482e-9cfe-f5ceb4231552,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.414025
https://jobs.lever.co/matchgroup/1c7a8562-da95-44c2-889f-13fe2520c796,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.414025
https://jobs.lever.co/matchgroup/4934040a-c45a-43ca-888b-e62427ff9630,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.414025
https://jobs.lever.co/matchgroup/a177d60f-27bc-4ef9-b652-317fea1b3f65,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.414025
https://jobs.lever.co/matchgroup/adef1577-467b-44bd-a071-df85fe6c55b9,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.414025
https://jobs.lever.co/matchgroup/a7cb675e-ee84-4201-acb7-0df9ba7969ba,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/a1d34ee9-1f04-4fed-834b-36b39789347a,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/0152fd07-2715-4fe1-a208-af9d03c0b358,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/347a3262-37fd-4e81-b7dd-0e319fb6e22a,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/56d2a29e-c9fb-45fd-8732-94dade2be2e3,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/43a95371-d8d9-4dfe-a04b-7249adceee35,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/966b5d6f-8758-4130-a8bc-2bd6821e1083,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/31b03917-1017-4ea4-98a9-72a82b97a877,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/26b5f3c8-f6d4-4cb0-acd3-0134b66869fc,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/edf748a7-a883-4fef-8112-8cbfba14afa3,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/e8a0b3da-76fe-4bb0-a188-3c7417a3792c,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/833a50e5-95b7-48ea-9fc9-c56d84c53798,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/08f33998-cc49-4f1d-b378-c5573f132d89,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/93968eed-f044-4303-9cf5-7350d1324c64,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/4eca7f77-c7f3-4225-bf81-6c409c25f66f,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.418167
https://jobs.lever.co/matchgroup/6d64e2d3-5bdd-4a11-8589-e877e2a70e9d,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.427674
https://jobs.lever.co/matchgroup/22e316b1-72ed-463e-bf0e-348c0f550df5,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.427674
https://jobs.lever.co/matchgroup/a823466a-3282-48e3-9e6e-1bf06906a4b6,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.427674
https://jobs.lever.co/matchgroup/304a0f5a-34f5-40ad-b776-2f61ef04b993,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.427674
https://jobs.lever.co/matchgroup/9f7954e9-7c8c-4e8d-823a-7c26041f1b04,Apply,Full-time,lever_matchgroup,2026-03-20T22:07:31.427674
